Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
28,69,No,7,88,Yes,2,Public,Neutral,2,No,High School,Moderate,Male,68
23,90,Yes,5,78,No,1,Private,Neutral,3,No,High School,Moderate,Male,70
27,72,Yes,8,53,Yes,3,Public,Neutral,3,No,High School,Far,Female,68
23,97,No,7,73,No,3,Private,Negative,1,No,High School,Moderate,Male,69
28,86,Yes,7,52,Yes,0,Public,Positive,5,No,College,Near,Male,70
23,77,No,5,68,Yes,0,Private,Positive,3,Yes,High School,Near,Male,67
19,92,Yes,6,68,Yes,2,Public,Neutral,2,No,High School,Near,Female,69
34,93,No,6,91,Yes,2,Public,Neutral,3,No,,Moderate,Female,73
25,72,Yes,8,87,Yes,3,Public,Positive,3,No,Postgraduate,Moderate,Male,68
23,74,No,8,95,Yes,2,Public,Negative,2,No,College,Far,Female,67
12,97,Yes,7,57,Yes,0,Private,Positive,4,No,College,Moderate,Female,67
12,67,Yes,8,77,Yes,2,Private,Positive,3,No,College,Near,Male,64
22,62,No,9,51,Yes,2,Public,Neutral,2,No,High School,Near,Male,63
21,78,No,8,91,No,1,Private,Negative,5,No,Postgraduate,Near,Female,67
16,92,Yes,8,68,Yes,1,Public,Positive,2,No,High School,Near,Male,70
21,91,Yes,6,53,Yes,1,Public,Positive,3,No,Postgraduate,Near,Female,71
30,97,Yes,6,66,Yes,1,Private,Neutral,2,No,College,Near,Male,74
24,81,Yes,9,64,Yes,2,Public,Positive,3,No,High School,Near,Male,70
13,64,No,6,88,Yes,1,Public,Neutral,2,No,College,Moderate,Female,59
19,84,Yes,8,56,Yes,0,Private,Neutral,3,Yes,High School,Near,Male,64
15,91,No,10,78,Yes,2,Public,Neutral,3,No,High School,Near,Female,67
18,64,Yes,8,90,Yes,1,Public,Neutral,3,No,High School,Near,Male,63
18,67,Yes,7,87,Yes,5,Public,Positive,2,No,College,Near,Male,66
17,60,Yes,5,97,Yes,1,Private,Negative,4,No,College,Far,Male,62
12,84,No,7,50,Yes,3,Public,Neutral,3,No,High School,Near,Male,65
19,95,Yes,9,68,Yes,3,Public,Positive,4,No,College,Far,Male,73
17,87,Yes,7,68,Yes,1,Public,Positive,2,No,High School,Near,Male,70
2,99,Yes,9,52,Yes,0,Public,Neutral,4,No,High School,Near,Male,62
32,63,No,8,91,No,2,Public,Positive,5,Yes,High School,Near,Female,68
27,96,Yes,7,84,Yes,1,Public,Neutral,3,No,College,Near,Male,74
18,93,No,7,76,Yes,2,Private,Neutral,4,No,High School,Near,Female,96
20,73,No,5,70,Yes,1,Public,Negative,2,No,High School,Moderate,Male,66
13,99,Yes,6,95,No,0,Public,Positive,4,No,Postgraduate,Near,Male,69
30,72,Yes,6,63,Yes,1,Public,Neutral,3,No,Postgraduate,Near,Female,70
31,96,Yes,8,67,Yes,2,Private,Neutral,3,No,College,Near,Male,73
21,95,No,7,98,Yes,1,Public,Positive,2,No,High School,Near,Male,69
26,90,Yes,9,53,Yes,1,Private,Neutral,4,No,High School,Far,Male,71
21,83,Yes,7,89,No,0,Public,Neutral,2,No,College,Moderate,Female,65
12,65,Yes,6,86,Yes,1,Public,Positive,3,No,Postgraduate,Near,Female,62
18,81,No,6,95,Yes,1,Public,Positive,3,No,High School,Near,Male,69
21,74,No,6,55,Yes,3,Public,Positive,2,No,College,Near,Male,65
17,92,No,7,99,Yes,1,Public,Neutral,2,No,College,Far,Female,68
19,90,Yes,6,51,Yes,1,Public,Negative,3,Yes,Postgraduate,Near,Male,65
19,96,Yes,5,67,Yes,4,Private,Neutral,1,No,High School,Moderate,Male,72
20,61,Yes,9,54,Yes,2,Private,Positive,4,No,Postgraduate,Near,Male,67
20,92,No,7,53,Yes,2,Private,Positive,2,No,College,Far,Male,68
14,98,No,7,98,No,0,Public,Positive,3,No,High School,Near,Male,68
16,92,No,6,86,No,2,Private,Neutral,3,Yes,College,Near,Female,66
12,65,Yes,5,75,Yes,0,Private,Negative,2,No,High School,Moderate,Male,62
26,63,Yes,7,55,Yes,2,Public,Neutral,4,No,High School,Far,Male,65
7,61,Yes,4,76,Yes,1,Private,Positive,5,No,High School,Far,Female,60
27,85,Yes,8,66,Yes,2,Private,Neutral,4,Yes,High School,Moderate,Male,70
28,85,Yes,6,64,Yes,1,Public,Neutral,1,No,High School,Moderate,Male,68
18,99,Yes,7,81,Yes,1,Public,Neutral,3,No,Postgraduate,Near,Male,72
4,76,Yes,8,90,Yes,2,Public,Positive,2,No,High School,Moderate,Female,63
18,73,Yes,7,72,Yes,1,Private,Neutral,1,Yes,High School,Moderate,Male,63
20,85,Yes,5,75,Yes,1,Public,Neutral,2,No,College,Near,Male,67
14,93,Yes,9,83,Yes,4,Public,Neutral,2,No,Postgraduate,,Female,68
17,97,No,5,56,Yes,2,Public,Positive,3,No,High School,Near,Female,69
29,92,Yes,4,91,Yes,1,Public,Neutral,4,No,High School,Near,Female,75
24,77,No,8,92,Yes,0,Public,Neutral,3,No,High School,Moderate,Male,67
14,85,Yes,5,77,Yes,2,Public,Positive,3,No,High School,Near,Male,69
10,94,No,9,59,Yes,0,Public,Positive,2,No,Postgraduate,Near,Male,65
18,80,Yes,8,75,No,2,Public,Negative,4,No,High School,Near,Male,65
19,69,Yes,7,55,Yes,1,Public,Positive,4,No,College,Near,Female,63
23,67,No,6,88,Yes,2,Private,Neutral,4,No,High School,Near,Male,65
17,60,No,6,66,Yes,0,Public,Positive,2,No,High School,Far,Female,58
23,89,Yes,6,66,Yes,0,Private,Positive,3,No,High School,Moderate,Male,70
32,64,Yes,6,97,Yes,1,Public,Neutral,5,No,College,Moderate,Male,66
25,70,No,9,71,No,2,Public,Negative,2,No,College,Near,Female,63
20,72,Yes,6,89,Yes,1,Private,Negative,3,No,High School,Far,Male,62
19,82,Yes,8,82,Yes,2,Private,Positive,3,No,College,Moderate,Female,69
18,76,No,9,66,Yes,1,Public,Positive,3,No,High School,Near,Female,66
27,87,No,6,56,Yes,0,Public,Neutral,2,No,High School,Moderate,Male,68
16,62,Yes,8,90,Yes,2,Public,Neutral,2,No,Postgraduate,Far,Male,62
20,65,No,6,88,Yes,0,Public,Negative,4,Yes,High School,Near,Male,64
20,80,Yes,7,58,No,0,Public,Neutral,2,No,College,Near,Female,65
17,73,Yes,6,62,Yes,2,Private,Negative,3,No,College,Far,Male,64
12,72,No,6,88,Yes,2,Public,Positive,3,No,High School,Near,Female,65
22,63,Yes,7,99,Yes,3,Private,Neutral,4,No,High School,Moderate,Male,65
20,96,Yes,5,92,Yes,0,Public,Neutral,3,No,College,Near,Female,70
23,88,No,8,84,Yes,2,Private,Positive,3,Yes,Postgraduate,Near,Female,71
17,65,Yes,5,96,Yes,2,Public,Positive,3,No,College,Moderate,Male,65
27,63,No,5,64,No,1,Public,Positive,4,No,Postgraduate,Near,Male,67
15,99,Yes,7,50,No,4,Public,Positive,2,No,High School,Moderate,Male,68
30,87,Yes,6,66,Yes,1,Public,Neutral,4,No,High School,Near,Male,73
10,77,No,8,99,Yes,0,Public,Neutral,4,Yes,High School,Near,Male,64
23,88,No,7,94,No,3,Private,Positive,1,No,High School,Near,Male,71
23,90,No,5,53,Yes,2,Private,Positive,2,No,High School,Near,Female,70
15,91,No,8,75,Yes,4,Public,Neutral,1,No,High School,Near,Female,68
23,79,Yes,7,54,Yes,2,Private,Neutral,4,No,College,Moderate,Female,68
28,77,Yes,7,89,Yes,3,Public,Positive,3,Yes,High School,Far,Male,68
7,60,Yes,10,69,Yes,0,Private,Positive,3,No,College,Moderate,Female,59
23,97,Yes,9,96,Yes,2,Private,Neutral,4,No,College,Near,Male,74
5,84,Yes,7,53,No,1,Public,Positive,3,No,Postgraduate,Moderate,Male,62
14,68,Yes,5,87,Yes,2,Public,Positive,3,No,High School,Far,Male,64
30,97,No,5,70,Yes,0,Public,Positive,2,No,Postgraduate,Near,Male,76
17,97,Yes,9,63,Yes,2,Public,Positive,2,No,High School,Near,Male,70
13,100,No,6,76,No,0,Public,Positive,5,No,Postgraduate,Near,Male,69
19,95,Yes,7,74,No,0,Public,Positive,2,No,,Near,Female,69
32,100,Yes,5,67,No,4,Public,Positive,3,No,High School,Far,Male,74
9,70,No,8,82,No,2,Public,Negative,2,No,High School,Near,Female,62
14,94,No,9,83,Yes,2,Public,Positive,3,No,Postgraduate,Moderate,Male,70
29,93,Yes,9,54,No,4,Public,Positive,3,No,High School,Near,Male,71
31,69,Yes,6,80,Yes,4,Public,Negative,2,No,College,Near,Male,68
19,64,Yes,8,86,Yes,3,Private,Neutral,3,No,Postgraduate,Near,Female,66
13,99,No,7,54,Yes,3,Public,Negative,3,No,High School,Far,Male,67
33,72,No,8,83,Yes,3,Private,Neutral,4,No,High School,Near,Male,71
30,95,Yes,7,90,Yes,3,Public,Neutral,1,No,High School,Moderate,Male,74
24,60,Yes,6,92,Yes,3,Public,Positive,2,No,College,Near,Male,65
15,61,Yes,9,52,Yes,1,Private,Neutral,3,No,High School,Moderate,Female,60
20,79,Yes,7,85,Yes,2,Public,Neutral,2,No,College,Moderate,Male,69
19,70,Yes,6,90,Yes,2,Private,Positive,3,No,High School,Moderate,Male,65
22,88,Yes,7,70,Yes,3,Public,Positive,2,No,High School,Near,Female,69
29,83,Yes,6,77,Yes,1,Public,Neutral,4,No,High School,Near,Male,70
25,63,Yes,8,63,Yes,0,Private,Positive,1,Yes,Postgraduate,Near,Female,65
14,67,Yes,7,66,Yes,0,Public,Neutral,4,No,High School,Far,Female,57
28,76,Yes,6,75,Yes,0,Public,Positive,2,No,High School,Near,Female,68
22,67,No,10,58,Yes,2,Public,Neutral,3,No,Postgraduate,Near,Male,67
24,92,No,5,69,Yes,2,Private,Negative,4,No,High School,Near,Female,70
29,77,Yes,8,65,Yes,1,Public,Neutral,3,No,High School,Near,Male,68
13,64,Yes,7,62,Yes,1,Public,Neutral,1,No,College,Moderate,Female,62
20,79,Yes,5,74,Yes,1,Public,Neutral,5,No,High School,Far,Male,67
17,64,Yes,6,92,Yes,0,Private,Positive,1,No,Postgraduate,Near,Male,66
11,65,Yes,5,62,Yes,2,Public,Neutral,2,No,College,Far,Female,60
22,70,No,10,83,Yes,0,Public,Positive,2,No,College,Moderate,Male,65
35,94,Yes,7,63,Yes,1,Public,Positive,2,No,College,Near,Female,75
9,97,Yes,7,57,Yes,4,Public,Neutral,5,No,High School,Far,Female,67
20,93,No,10,97,Yes,1,Public,Neutral,2,No,Postgraduate,Moderate,Male,71
24,73,Yes,6,82,Yes,0,Public,Negative,2,Yes,High School,Near,Male,63
21,71,Yes,9,55,Yes,2,Public,Positive,1,No,Postgraduate,Moderate,Male,67
19,82,No,8,82,Yes,2,Private,Negative,4,No,Postgraduate,Near,Female,68
12,89,Yes,4,59,Yes,2,Public,Negative,4,No,High School,Near,Male,65
21,100,No,6,94,No,1,Public,Positive,3,No,College,Moderate,Female,72
15,65,No,8,62,Yes,1,Public,Neutral,4,No,High School,Moderate,Female,61
7,62,No,7,90,Yes,1,Public,Neutral,5,No,College,Moderate,Female,60
27,88,Yes,7,60,Yes,2,Public,Positive,2,No,High School,Near,Female,72
26,93,Yes,6,78,Yes,2,Public,Neutral,3,No,Postgraduate,Far,Female,72
20,94,Yes,6,96,Yes,2,Private,Negative,3,No,College,Near,Male,70
21,87,No,7,65,Yes,2,Public,Negative,3,Yes,College,Near,Male,67
26,98,No,10,54,Yes,0,Private,Neutral,1,No,Postgraduate,Near,Male,71
21,80,Yes,6,78,Yes,0,Private,Negative,2,No,Postgraduate,Near,Female,66
25,97,No,6,59,Yes,0,Public,Positive,2,No,High School,Near,Female,72
18,99,Yes,7,86,No,1,Public,Neutral,4,No,High School,Moderate,Female,70
28,94,Yes,5,80,Yes,2,Public,Negative,2,No,High School,Moderate,Female,71
22,72,Yes,8,67,Yes,2,Public,Negative,4,No,College,Far,Male,64
21,68,Yes,5,85,No,3,Public,Positive,2,No,College,Moderate,Male,66
12,82,No,5,62,Yes,2,Public,Positive,4,No,High School,Near,Male,64
22,78,Yes,5,96,Yes,0,Public,Neutral,3,No,High School,Moderate,Male,67
15,95,No,5,67,Yes,3,Public,Positive,3,No,High School,Moderate,Female,67
16,64,No,9,88,Yes,1,Public,Positive,3,No,High School,Near,Male,64
15,70,No,8,63,Yes,0,Private,Positive,4,No,High School,Moderate,Female,61
14,90,Yes,8,86,Yes,4,Private,Negative,2,No,High School,Near,Female,99
33,64,No,8,52,No,3,Public,Positive,4,No,High School,Near,Male,67
28,73,Yes,7,65,Yes,3,Public,Positive,3,No,Postgraduate,Near,Male,72
32,75,No,7,55,Yes,1,Public,Neutral,4,No,High School,Moderate,Male,66
13,85,Yes,9,73,Yes,3,Public,Positive,2,No,Postgraduate,Moderate,Male,68
20,66,No,9,72,Yes,1,Public,Positive,1,No,College,Near,Female,64
12,94,No,5,68,Yes,1,Public,Neutral,2,No,High School,Near,Male,69
16,78,No,10,99,Yes,0,Public,Positive,4,No,High School,Far,Female,65
14,97,No,5,62,No,1,Public,Neutral,4,Yes,Postgraduate,Far,Female,66
27,79,Yes,6,90,Yes,3,Public,Positive,4,No,High School,Near,Male,73
18,71,Yes,7,72,Yes,0,Public,Neutral,4,No,High School,,Female,63
26,66,Yes,7,67,Yes,3,Public,Negative,4,No,High School,Moderate,Female,66
24,60,Yes,10,60,Yes,3,Private,Neutral,2,No,Postgraduate,Near,Female,65
34,81,Yes,9,82,Yes,1,Public,Negative,2,No,High School,Near,Male,71
11,64,Yes,8,67,No,1,Public,Neutral,2,Yes,College,Near,Male,58
28,76,No,9,91,Yes,0,Private,Neutral,3,No,High School,Moderate,Male,68
27,84,No,8,98,Yes,0,Public,Neutral,4,No,High School,Moderate,Male,69
14,71,Yes,6,61,Yes,0,Public,Positive,3,No,Postgraduate,Near,Female,63
26,67,Yes,8,56,Yes,1,Public,Negative,5,No,College,Near,Female,66
22,91,Yes,7,66,No,0,Public,Negative,3,No,College,Near,Female,69
19,98,Yes,6,73,Yes,3,Private,Negative,3,No,College,Near,Male,69
15,64,No,9,65,Yes,2,Public,Neutral,2,No,High School,Near,Male,63
16,66,Yes,7,99,Yes,1,Public,Positive,3,No,College,Near,Female,65
32,98,No,5,89,Yes,2,Private,Positive,3,No,College,Near,Male,76
20,62,Yes,6,98,Yes,0,Public,Neutral,3,No,Postgraduate,Near,Male,67
25,99,No,8,69,No,1,Public,Positive,3,No,Postgraduate,Moderate,Male,70
15,60,No,9,65,Yes,1,Public,Negative,5,No,College,Moderate,Male,60
15,95,No,8,70,Yes,2,Public,Neutral,3,Yes,High School,Near,Female,68
26,72,Yes,8,76,Yes,1,Public,Negative,3,No,Postgraduate,Near,Male,68
12,98,Yes,6,87,Yes,2,Private,Neutral,3,No,Postgraduate,Near,Female,70
18,73,Yes,7,94,Yes,1,Private,Neutral,3,No,Postgraduate,Moderate,Female,68
20,86,No,7,73,Yes,3,Public,Neutral,3,Yes,High School,Near,Male,69
21,63,Yes,7,64,Yes,0,Public,Negative,3,No,High School,Near,Female,62
19,70,No,7,66,Yes,1,Private,Neutral,4,No,College,Moderate,Male,64
22,91,No,6,85,Yes,2,Private,Positive,2,No,High School,Moderate,Female,71
24,81,Yes,8,78,Yes,1,Public,Positive,2,No,High School,Near,Male,68
24,97,No,5,74,Yes,0,Public,Neutral,5,No,High School,Near,Female,72
14,77,Yes,5,60,Yes,1,Private,Negative,3,No,Postgraduate,Far,Male,64
18,95,Yes,6,94,Yes,6,Public,Neutral,3,No,High School,Far,Female,73
27,78,No,8,89,Yes,0,Public,Neutral,3,No,Postgraduate,Near,Female,69
25,99,No,8,57,Yes,1,Private,Positive,3,No,Postgraduate,Moderate,Male,70
12,98,No,4,68,Yes,3,Public,Neutral,2,No,High School,Near,Female,69
22,73,No,8,77,Yes,1,Public,Neutral,3,No,High School,Far,Male,64
8,95,No,7,73,Yes,2,Private,Neutral,2,No,College,Near,Male,66
20,94,Yes,6,70,Yes,1,Public,Neutral,2,No,High School,Moderate,Female,69
31,68,No,7,86,Yes,1,Private,Positive,3,No,High School,Moderate,Female,68
14,85,Yes,5,53,Yes,4,Public,Neutral,3,No,High School,Near,Male,65
15,63,Yes,7,74,Yes,4,Public,Negative,2,No,High School,Moderate,Male,62
25,93,Yes,5,63,Yes,2,Public,Positive,2,No,Postgraduate,Near,Female,75
11,67,Yes,6,54,Yes,0,Public,Positive,3,No,High School,Near,Female,60
16,63,Yes,6,73,Yes,0,Public,Neutral,4,No,College,Near,Male,63
24,76,Yes,8,59,Yes,2,Public,Positive,4,No,College,Far,Male,66
16,83,Yes,7,63,Yes,0,Public,Neutral,3,No,Postgraduate,Near,Female,67
19,94,Yes,8,75,Yes,1,Public,Negative,3,No,College,Moderate,Female,68
24,99,Yes,5,99,Yes,0,Public,Positive,3,No,High School,Moderate,Female,72
23,78,No,7,84,Yes,0,Private,Neutral,3,No,College,Near,Male,66
22,62,Yes,8,64,Yes,0,Public,Neutral,3,No,Postgraduate,Near,Female,63
18,90,Yes,9,69,Yes,1,Private,Positive,3,No,College,Moderate,Female,71
22,83,Yes,5,70,Yes,2,Public,Positive,3,No,College,Far,Male,67
19,78,Yes,6,58,Yes,1,Public,Neutral,3,No,Postgraduate,Near,Male,66
23,72,No,8,58,No,2,Private,Positive,2,No,College,Near,Female,66
17,80,No,9,57,Yes,4,Public,Positive,2,No,College,Near,Male,68
19,74,No,7,76,Yes,1,Public,Neutral,3,No,College,Near,Female,66
14,90,Yes,5,84,Yes,0,Public,Negative,3,No,Postgraduate,Near,Female,68
20,82,Yes,5,80,Yes,3,Public,Neutral,1,Yes,College,Near,Female,68
15,95,Yes,7,99,Yes,0,Public,Neutral,2,No,High School,Near,Female,68
13,82,No,8,56,Yes,2,Private,Neutral,3,No,Postgraduate,Near,Male,66
22,70,No,7,99,Yes,1,Private,Positive,2,No,High School,Moderate,Male,66
21,94,No,5,73,Yes,0,Public,Neutral,3,No,Postgraduate,Far,Female,70
25,82,Yes,9,61,Yes,1,Public,Negative,2,No,High School,Near,Male,68
17,68,Yes,6,97,Yes,2,Public,Negative,3,No,High School,Moderate,Male,65
22,85,Yes,8,73,Yes,1,Private,Positive,3,No,College,Near,Male,70
23,74,No,4,67,Yes,3,Private,Negative,5,No,High School,Far,Male,66
23,94,Yes,9,61,No,0,Public,Negative,1,Yes,Postgraduate,Moderate,Female,68
15,78,Yes,6,63,Yes,1,Private,Neutral,2,Yes,College,Moderate,Male,64
21,89,No,9,99,Yes,0,Private,Negative,3,No,High School,Near,Male,69
22,64,No,8,65,Yes,2,Private,Neutral,4,No,Postgraduate,Near,Female,65
20,76,Yes,5,99,No,3,Public,Negative,3,No,Postgraduate,Near,Female,69
7,99,Yes,7,67,No,1,Private,Neutral,4,No,High School,Near,Female,66
21,92,No,9,62,Yes,1,Public,Positive,2,No,High School,Near,Female,68
33,66,Yes,6,59,Yes,3,Public,Positive,2,No,Postgraduate,Near,Female,70
18,71,No,9,71,Yes,1,Public,Positive,3,No,High School,Moderate,Female,65
16,73,Yes,8,62,Yes,0,Private,Neutral,2,No,High School,Near,Female,65
22,86,No,9,85,Yes,1,Public,Negative,3,No,Postgraduate,Near,Female,68
22,90,No,7,62,Yes,0,Public,Positive,3,No,College,Near,Male,67
27,90,No,7,92,Yes,0,Private,Neutral,3,No,High School,Near,Female,72
12,80,Yes,10,92,Yes,1,Public,Positive,3,No,Postgraduate,Moderate,Male,70
24,92,Yes,8,64,Yes,1,Private,Neutral,3,No,College,Near,Male,72
24,77,Yes,7,88,Yes,1,Public,Negative,5,No,College,Near,Male,71
19,65,No,8,93,Yes,1,Private,Neutral,4,No,College,Near,Male,64
22,83,Yes,6,80,Yes,2,Public,Positive,5,No,High School,Moderate,Female,69
26,98,Yes,7,68,Yes,4,Public,Positive,1,No,High School,Near,Female,73
25,92,Yes,9,72,Yes,1,Public,Negative,5,No,Postgraduate,Far,Female,70
13,83,No,7,89,Yes,1,Public,Neutral,4,No,Postgraduate,Near,Female,68
25,86,No,6,65,Yes,2,Public,Positive,5,No,High School,Moderate,Male,71
20,97,No,6,67,Yes,1,Private,Positive,3,No,Postgraduate,Near,Female,71
20,77,Yes,7,58,Yes,0,Public,Neutral,3,No,High School,Near,Male,66
20,73,No,6,70,Yes,3,Public,Neutral,4,No,High School,Near,Female,68
19,99,Yes,5,54,Yes,0,Public,Neutral,2,No,Postgraduate,Near,Male,70
27,95,No,5,66,Yes,3,Public,Neutral,4,No,High School,Near,Male,72
19,73,Yes,9,69,Yes,1,Public,Positive,4,No,Postgraduate,Near,Female,66
13,79,Yes,7,63,No,3,Private,Neutral,2,No,High School,Near,Female,65
18,77,Yes,7,55,No,3,Private,Neutral,3,Yes,High School,Near,Female,66
21,66,Yes,6,76,Yes,3,Private,Neutral,1,No,High School,Moderate,Female,65
27,98,Yes,6,93,Yes,0,Private,Neutral,4,No,High School,Moderate,Male,72
24,76,Yes,6,67,Yes,2,Public,Negative,3,No,College,Near,Female,68
15,95,Yes,7,62,Yes,0,Public,Negative,3,No,College,Near,Female,68
35,68,Yes,5,64,Yes,0,Public,Positive,4,Yes,High School,Near,Male,67
22,82,Yes,9,93,Yes,2,Public,Neutral,2,No,High School,Near,Male,68
28,61,No,7,76,Yes,1,Public,Positive,4,No,High School,Moderate,Male,67
19,91,No,7,57,Yes,3,Public,Negative,3,No,High School,Moderate,Female,69
23,83,No,8,85,Yes,2,Private,Neutral,2,Yes,High School,Near,Male,65
25,85,No,8,58,Yes,2,Public,Neutral,4,No,College,Near,Male,70
27,62,No,6,53,Yes,1,Public,Positive,2,No,High School,Moderate,Male,64
26,68,No,8,63,Yes,2,Public,Positive,3,No,High School,Near,Male,66
25,63,No,8,58,Yes,1,Public,Positive,1,No,College,Near,Female,64
18,72,Yes,7,80,Yes,1,Public,Negative,2,Yes,High School,Moderate,Female,66
17,85,Yes,9,74,Yes,1,Private,Neutral,2,No,High School,Near,Male,67
22,83,Yes,8,86,Yes,3,Public,Negative,4,No,High School,Near,Male,68
26,84,No,8,76,Yes,5,Public,Neutral,2,No,High School,Moderate,Male,71
19,82,No,9,71,Yes,1,Private,Neutral,3,No,College,Near,Female,67
26,71,Yes,7,76,Yes,3,Public,Positive,2,No,Postgraduate,Moderate,Male,69
29,70,Yes,7,72,Yes,1,Public,Positive,4,No,College,Near,Male,67
15,65,Yes,8,52,Yes,4,Private,Neutral,3,Yes,High School,Moderate,Female,61
15,94,No,7,84,Yes,0,Public,Positive,2,No,High School,Moderate,Male,68
19,85,Yes,8,98,Yes,2,Private,Neutral,4,No,High School,Near,Female,67
22,67,Yes,6,71,Yes,1,Public,Neutral,4,No,College,Moderate,Male,64
17,67,Yes,4,71,Yes,3,Public,Negative,2,No,High School,Moderate,Female,63
28,95,No,8,52,Yes,3,Public,Negative,4,No,College,Near,Male,72
23,90,No,5,95,Yes,2,Public,Negative,2,No,High School,Moderate,Male,69
20,86,No,6,96,Yes,1,Public,Neutral,2,Yes,High School,Far,Male,66
11,76,Yes,8,91,Yes,1,Private,Neutral,3,Yes,College,Near,Female,64
12,70,Yes,8,55,Yes,2,Public,Negative,4,No,High School,Near,Female,61
22,99,Yes,9,95,Yes,2,Public,Negative,4,Yes,High School,Near,Male,71
7,92,Yes,4,51,Yes,0,Public,Positive,1,No,High School,Near,Female,63
26,72,No,7,72,Yes,2,Public,Neutral,4,No,High School,Near,Female,65
19,94,Yes,7,75,Yes,2,Public,Negative,5,No,College,Near,Female,71
39,90,No,8,92,Yes,2,Private,Neutral,1,No,High School,Near,Female,78
34,72,Yes,9,88,Yes,1,Private,Positive,3,No,Postgraduate,Near,Male,73
19,77,No,5,90,Yes,1,Private,Neutral,3,No,College,Near,Female,65
19,67,Yes,7,93,Yes,0,Public,Positive,4,No,Postgraduate,Near,Male,66
26,64,Yes,8,74,Yes,3,Public,Neutral,2,No,High School,Near,Male,66
30,89,No,6,89,Yes,3,Public,Neutral,3,No,Postgraduate,Moderate,Male,74
10,71,No,10,53,Yes,4,Private,Positive,3,No,High School,Near,Female,62
9,93,Yes,6,72,Yes,1,Public,Positive,2,No,College,Near,Female,66
16,100,No,7,52,Yes,4,Public,Negative,4,No,High School,Near,Female,71
23,63,Yes,5,96,Yes,2,Public,Neutral,2,No,High School,Near,Female,67
23,79,Yes,7,98,Yes,0,Public,Neutral,4,No,College,Near,Female,69
26,92,No,4,54,Yes,2,Public,Positive,4,No,High School,Moderate,Male,72
13,92,Yes,7,77,Yes,2,Public,Positive,4,No,Postgraduate,Near,Male,72
6,90,Yes,9,66,Yes,2,Public,Positive,2,No,High School,Far,Male,65
25,74,No,5,67,Yes,1,Public,Positive,5,No,Postgraduate,Near,Male,71
15,78,No,5,73,Yes,0,Private,Positive,1,Yes,College,Near,Male,64
8,84,Yes,9,56,Yes,1,Public,Positive,2,No,High School,Moderate,Male,61
21,99,Yes,9,59,Yes,1,Public,Negative,2,No,College,Moderate,Female,69
25,73,Yes,5,79,Yes,1,Private,Neutral,5,No,High School,Moderate,Female,65
19,97,Yes,10,51,Yes,3,Public,Neutral,4,No,College,Far,Female,69
17,71,No,8,80,Yes,2,Public,Neutral,3,No,High School,Near,Female,64
19,100,Yes,9,66,Yes,1,Public,Negative,4,Yes,Postgraduate,Moderate,Male,69
18,87,Yes,6,92,Yes,1,Private,Neutral,4,No,High School,Near,Female,68
12,79,No,9,80,Yes,1,Public,Positive,2,No,College,Moderate,Male,63
16,85,No,7,85,Yes,1,Public,Neutral,2,No,High School,Near,Male,66
23,71,No,7,56,Yes,1,Private,Positive,4,No,,Near,Female,65
22,71,Yes,8,63,Yes,2,Public,Negative,2,No,High School,Moderate,Male,66
21,65,No,6,100,Yes,3,Public,Neutral,4,No,Postgraduate,Near,Male,67
14,65,Yes,5,72,Yes,3,Private,Negative,2,No,High School,Near,Male,62
19,74,Yes,7,68,Yes,2,Public,Negative,2,No,High School,Near,Female,66
7,91,No,7,94,No,3,Public,Neutral,3,No,Postgraduate,Moderate,Female,68
21,84,Yes,6,52,Yes,2,Public,Negative,5,No,High School,Moderate,Male,68
29,64,No,9,77,Yes,0,Public,Negative,2,No,High School,Moderate,Female,63
11,94,Yes,10,61,Yes,1,Public,Neutral,3,No,College,Moderate,Male,66
16,84,No,6,68,No,3,Private,Neutral,3,No,,Near,Male,65
22,98,Yes,7,60,Yes,1,Public,Positive,1,No,High School,Near,Male,72
28,87,No,6,52,Yes,4,Private,Neutral,3,No,Postgraduate,Near,Female,70
17,67,No,10,71,Yes,1,Public,Positive,3,No,High School,Near,Male,63
16,79,No,8,89,Yes,0,Private,Neutral,4,No,High School,Near,Male,65
8,86,Yes,8,98,Yes,1,Private,Neutral,1,No,College,Near,Male,65
21,61,No,9,81,Yes,1,Private,Neutral,3,No,Postgraduate,Near,Male,66
32,61,Yes,7,69,Yes,0,Public,Positive,3,No,High School,Moderate,Female,68
22,65,Yes,7,88,No,2,Public,Positive,4,No,College,Near,Male,64
20,70,No,9,75,Yes,3,Public,Neutral,4,No,College,Moderate,Male,66
22,77,Yes,8,68,Yes,3,Public,Positive,4,No,High School,Moderate,Male,68
20,79,Yes,6,59,Yes,0,Public,Positive,2,No,High School,Moderate,Male,64
15,66,No,6,90,Yes,2,Public,Negative,3,No,College,Far,Female,62
25,87,Yes,6,75,No,0,Private,Neutral,2,Yes,High School,Near,Male,67
21,84,No,9,98,Yes,1,Public,Negative,3,No,High School,Moderate,Male,67
20,72,No,9,90,Yes,1,Private,Neutral,2,No,Postgraduate,Moderate,Male,65
14,61,Yes,10,71,No,2,Public,Neutral,4,No,High School,Near,Male,59
28,63,Yes,6,87,Yes,0,Public,Positive,2,No,High School,Moderate,Female,66
